Chapter,Topic,Question,Equation,Answer
Haloalkanes and Haloarenes,Haloarene Concepts,Explain significance of haloarene concepts.,Ar–X → aromatic synthesis,"These concepts help predict aromatic substitution, orientation, and nucleophilic substitution mechanisms."
Physical Chemistry,Atomic Mass,Why is atomic mass of chlorine closer to 35.5 than 36?,Cl-35 अधिक abundant,Cl-35 isotope has greater natural abundance than Cl-37.
States of Matter,Gas Properties,Why do gases show negligible intermolecular forces under ideal conditions?,large intermolecular distances,Molecules are sufficiently separated.
Alcohols Phenols Ethers,Ether Reactions,Why anisole does not undergo Friedel-Crafts alkylation easily?,C₆H₅OCH₃ + AlCl₃ → complex,Oxygen binds catalyst
Amines,Amine Formation,How is octylamine (C₈H₁₉N) formed?,8C + 19H + N → C8H19N,Eight carbon atoms form chain with –NH₂ group
Equilibrium,Hydrolysis,Derive hydrolysis constant for salt of weak base and strong acid.,Kh = Kw/Kb,"For a salt like NH4Cl, the cation reacts with water forming NH3 and H+. Using equilibrium relations and base dissociation constant, we get Kh = Kw/Kb. Smaller Kb means greater hydrolysis."
Polymers,Polymer Classification,Classify buna-S.,copolymer elastomer,Buna-S is synthetic elastomeric copolymer.
Physical Chemistry,Composition,Calculate percentage of iron in Fe2O3.,112/160 ×100,Percentage of iron in ferric oxide is 70%.
Chemistry in Everyday Life,Food Chemistry,Why fats are long-term energy storage?,fat → stored energy,Fats are stored in adipose tissue and release energy slowly when required.
Alcohols Phenols Ethers,Ether Properties,Compare polarity of ethers and alcohols.,R–O–R ⇌ dipole ; R–OH ⇌ stronger dipole,"Alcohols are more polar than ethers because they contain an O–H bond, which is highly polar and contributes to stronger dipole moment. Ethers have two C–O bonds, but their net dipole is lower due to molecular geometry."
Alcohols Phenols Ethers,Phenol Reactions,Predict product when p-nitrophenol is subjected to steam distillation.,p-nitrophenol → non-volatile,"p-Nitrophenol forms intermolecular hydrogen bonding, increasing boiling point and making it less volatile. Therefore, it does not distill easily with steam."
Equilibrium,Solubility,Derive solubility expression with complex formation.,Ksp × Kf = overall constant,"When both dissolution and complex formation occur, combined equilibrium constant is product of Ksp and formation constant, leading to higher solubility."
Thermodynamics,Gibbs Energy,What is coupled reaction?,non-spontaneous driven by spontaneous,Process occurs using energy from favorable reaction.
Redox Reactions,Oxidation Number,What is oxidation number of hydrogen in most compounds?,1,Hydrogen usually possesses oxidation number +1.
Equilibrium,Buffer Solutions,Explain significance of Henderson equation in numericals.,pH = pKa + log ratio,This equation simplifies pH calculation without solving complex equilibrium equations.
Hydrocarbons,Alkene Reactions,What is polymerization?,n(C₂H₄) → (–CH₂–CH₂–)ₙ,Many alkene units combine
Physical Chemistry,Gas Laws,Why does Z become less than 1 for real gases?,attractive forces dominate,Intermolecular attractions reduce effective pressure causing negative deviation.
Alcohols Phenols Ethers,Ether Formation,Select correct reagent pair to form dimethyl ether.,2CH3OH → CH3OCH3 + H2O,Methanol undergoes dehydration forming dimethyl ether under acidic conditions.
Biomolecules,Carbohydrates,Predict product when glucose is oxidized with nitric acid.,C6H12O6 + HNO3 → HOOC–(CHOH)4–COOH,Strong oxidation converts both aldehyde and primary alcohol groups into carboxylic acids forming saccharic acid.
Alcohols Phenols Ethers,Phenol Formation,Predict outcome when o-nitrochlorobenzene reacts with NaOH.,o-NO2–C6H4Cl + NaOH → o-NO2–C6H4OH + NaCl,Ortho nitro group activates substitution giving o-nitrophenol.
Hydrocarbons,Alkyne Concepts,Why are alkynes important synthetic intermediates?,C≡C → multiple functional groups,"Triple bonds can be converted into alkenes, alkanes, aldehydes, ketones, acids, and polymers."
Hydrocarbons,Alkane Reactions,Explain the stability order of alkyl radicals.,3° > 2° > 1° > CH3•,Alkyl radicals are stabilized by hyperconjugation and +I effect of alkyl groups which disperse electron deficiency.
Alcohols Phenols Ethers,Ether Formation,Predict product when phenol reacts with Na followed by CH3Cl.,C6H5OH + Na → C6H5ONa + H2 ; C6H5ONa + CH3Cl → C6H5OCH3 + NaCl,Phenol forms sodium phenoxide which reacts with methyl chloride forming anisole.
Polymers,Polymer Structure,Why are atactic polymers generally amorphous?,random substituent orientation,Random arrangement prevents crystallization.
Physical Chemistry,Gas Laws,Why do lighter gases have higher rms speed?,urms ∝ 1/√M,Lighter molecules move faster because rms speed is inversely proportional to square root of molar mass.
Redox Reactions,Redox Reactions,Explain balancing by ion-electron method.,half-reaction method,Oxidation and reduction half-reactions are balanced separately.
Biomolecules,Nucleic Acids,Identify codon–anticodon relationship.,codon + anticodon → pairing,tRNA anticodon pairs complementarily with mRNA codon during translation.
States of Matter,Real Gases,Why do repulsive forces dominate at very high pressure?,molecular crowding,Molecules resist further compression.
Alcohols Phenols Ethers,Phenol Formation,Predict the major product when chlorobenzene reacts with NaOH at 623 K and 300 atm followed by acidification.,C6H5Cl + NaOH → C6H5ONa + NaCl ; C6H5ONa + HCl → C6H5OH + NaCl,"Under Dow’s process conditions, chlorobenzene forms sodium phenoxide which on acidification yields phenol."
Chemistry in Everyday Life,Soaps and Detergents,Arrange boiling point: soap vs detergent molecules.,intermolecular forces → BP,Soaps have higher boiling points due to stronger intermolecular interactions.
Chemistry in Everyday Life,Food Chemistry,What is food spoilage?,food → decomposed,Food spoilage occurs due to microbial activity and chemical changes.
Physical Chemistry,Concentration,Define mass percentage.,(mass of solute/mass of solution) ×100,Mass percentage gives mass of solute present in 100 g of solution.
