Chapter,Topic,Question,Equation,Answer
Alcohols Phenols Ethers,Alcohol Formation,How is methanol (CH₃OH) formed?,C + 4H + O → CH3OH,Carbon forms covalent bonds with hydrogen and a hydroxyl group forming methanol
Alcohols Phenols Ethers,Alcohol Formation,How is ethanol (C₂H₅OH) formed?,2C + 6H + O → C2H5OH,Two carbon atoms form a chain and attach hydrogen and a hydroxyl group forming ethanol
Alcohols Phenols Ethers,Alcohol Formation,How is propanol (C₃H₇OH) formed?,3C + 8H + O → C3H7OH,Three carbon atoms form a chain and attach hydrogen and hydroxyl group
Alcohols Phenols Ethers,Alcohol Formation,How is butanol (C₄H₉OH) formed?,4C + 10H + O → C4H9OH,Four carbon atoms form a chain and bond with hydrogen and hydroxyl group
Alcohols Phenols Ethers,Alcohol Formation,How is pentanol (C₅H₁₁OH) formed?,5C + 12H + O → C5H11OH,Five carbon atoms form a chain and attach hydrogen and hydroxyl group
Alcohols Phenols Ethers,Alcohol Formation,How is hexanol (C₆H₁₃OH) formed?,6C + 14H + O → C6H13OH,Six carbon atoms form a chain and bond with hydrogen and hydroxyl group
Alcohols Phenols Ethers,Alcohol Formation,How is heptanol (C₇H₁₅OH) formed?,7C + 16H + O → C7H15OH,Seven carbon atoms form a chain and attach hydrogen and hydroxyl group
Alcohols Phenols Ethers,Alcohol Formation,How is octanol (C₈H₁₇OH) formed?,8C + 18H + O → C8H17OH,Eight carbon atoms form a chain and bond with hydrogen and hydroxyl group
Alcohols Phenols Ethers,Alcohol Formation,How is nonanol (C₉H₁₉OH) formed?,9C + 20H + O → C₉H₁₉OH,Nine carbon atoms form a chain and bond with hydrogen and hydroxyl group
Alcohols Phenols Ethers,Alcohol Formation,How is decanol (C₁₀H₂₁OH) formed?,10C + 22H + O → C₁₀H₂₁OH,Ten carbon atoms form a chain and bond with hydrogen and hydroxyl group
Alcohols Phenols Ethers,Alcohol Reactions,How does C₂H₅OH react with Na?,2C₂H₅OH + 2Na → 2C₂H₅ONa + H₂,Hydrogen replaced by sodium
Alcohols Phenols Ethers,Alcohol Reactions,How does C₂H₅OH react with HCl?,C₂H₅OH + HCl → C₂H₅Cl + H₂O,–OH replaced by Cl
Alcohols Phenols Ethers,Alcohol Reactions,How does alcohol react with PCl₅?,C₂H₅OH + PCl₅ → C₂H₅Cl + POCl₃ + HCl,–OH replaced by Cl
Alcohols Phenols Ethers,Alcohol Reactions,How does alcohol react with SOCl₂?,C₂H₅OH + SOCl₂ → C₂H₅Cl + SO₂ + HCl,–OH replaced by Cl
Alcohols Phenols Ethers,Alcohol Reactions,How is C₂H₄ formed from C₂H₅OH?,C₂H₅OH → C₂H₄ + H₂O,Loss of water
Alcohols Phenols Ethers,Alcohol Reactions,How is ether formed from alcohol?,2C₂H₅OH → C₂H₅OC₂H₅ + H₂O,Intermolecular dehydration
Alcohols Phenols Ethers,Alcohol Reactions,What is oxidation of C₂H₅OH?,C₂H₅OH → CH₃CHO → CH₃COOH,Stepwise oxidation
Alcohols Phenols Ethers,Alcohol Reactions,What is oxidation of C₃H₇OH?,(CH₃)₂CHOH → (CH₃)₂CO,Secondary alcohol oxidation
Alcohols Phenols Ethers,Alcohol Reactions,What happens on oxidation of tertiary alcohol?,(CH₃)₃COH → No reaction,No α-H present
Alcohols Phenols Ethers,Alcohol Reactions,How does alcohol react with acid?,C₂H₅OH + CH₃COOH → CH₃COOC₂H₅ + H₂O,Condensation reaction
Alcohols Phenols Ethers,Alcohol Reactions,How does alcohol react with CH₃COCl?,C₂H₅OH + CH₃COCl → CH₃COOC₂H₅ + HCl,Faster reaction
Alcohols Phenols Ethers,Alcohol Reactions,How is ether formed?,C₂H₅ONa + CH₃I → C₂H₅OCH₃ + NaI,Alkoxide attacks alkyl halide
Alcohols Phenols Ethers,Alcohol Reactions,What is limitation of Williamson synthesis?,(CH₃)₃CBr + NaOC₂H₅ → C₄H₈ + NaBr + C₂H₅OH,Elimination dominates
Alcohols Phenols Ethers,Alcohol Properties,Why do alcohols show hydrogen bonding?,R–O–H···O–R,Oxygen forms intermolecular hydrogen bonds with hydrogen of another molecule
Alcohols Phenols Ethers,Alcohol Properties,Why do alcohols have higher boiling points than alkanes?,R–O–H···O–R > R–H,Alcohol molecules associate via hydrogen bonds unlike alkanes
Alcohols Phenols Ethers,Alcohol Properties,How does boiling point change with chain length?,CH₃–OH < C₂H₅–OH < C₃H₇–OH,Larger molecules have stronger van der Waals forces
Alcohols Phenols Ethers,Alcohol Properties,How does branching affect boiling point?,CH₃CH₂CH₂CH₂OH > (CH₃)₂CHCH₂OH > (CH₃)₃COH,Branching reduces surface area and intermolecular attraction
Alcohols Phenols Ethers,Alcohol Properties,Why are lower alcohols soluble in water?,R–OH + H–O–H → R–O–H···O–H₂,Alcohol forms hydrogen bonds with water molecules
Alcohols Phenols Ethers,Alcohol Properties,How does solubility change with chain length?,CH₃OH > C₂H₅OH > C₃H₇OH > C₄H₉OH,Hydrophobic alkyl group increases reducing interaction with water
Alcohols Phenols Ethers,Alcohol Properties,How does density of alcohols compare with water?,ρ(C₂H₅OH) < ρ(H₂O),Alcohol molecules have lower packing efficiency than water
Alcohols Phenols Ethers,Alcohol Reactions,How does ethanol react with sodium?,2C₂H₅OH + 2Na → 2C₂H₅ONa + H₂,Sodium replaces acidic hydrogen
Alcohols Phenols Ethers,Alcohol Reactions,How does ethanol react with potassium?,2C₂H₅OH + 2K → 2C₂H₅OK + H₂,Potassium replaces acidic hydrogen
Alcohols Phenols Ethers,Alcohol Reactions,How does alcohol react with Grignard reagent?,R–MgX + R′–OH → R–H + Mg(OR′)X,Acidic proton reacts with Grignard reagent
Alcohols Phenols Ethers,Alcohol Reactions,What happens when CH₃MgBr reacts with ethanol?,CH₃MgBr + C₂H₅OH → CH₄ + Mg(OC₂H₅)Br,Grignard reagent abstracts proton
Alcohols Phenols Ethers,Alcohol Tests,How does tertiary alcohol react in Lucas test?,(CH₃)₃COH + HCl → (CH₃)₃CCl + H₂O,Forms alkyl chloride rapidly
Alcohols Phenols Ethers,Alcohol Tests,How does secondary alcohol react in Lucas test?,(CH₃)₂CHOH + HCl → (CH₃)₂CHCl + H₂O,Forms alkyl chloride slowly
Alcohols Phenols Ethers,Alcohol Tests,How does primary alcohol react in Lucas test?,C₂H₅OH + HCl → C₂H₅Cl + H₂O,Reaction is very slow
Alcohols Phenols Ethers,Alcohol Tests,What is result for primary alcohol?,R–OH → R–I → R–NO₂ → red color,Forms nitrolic acid
Alcohols Phenols Ethers,Alcohol Tests,What is result for secondary alcohol?,R–OH → R–I → R–NO₂ → blue color,Forms pseudonitrole
Alcohols Phenols Ethers,Alcohol Tests,What is result for tertiary alcohol?,R–OH → no reaction,Does not form nitro compound
Alcohols Phenols Ethers,Alcohol Reactions,How does ethanol undergo dehydrogenation?,C₂H₅OH → CH₃CHO + H₂,Catalytic removal of hydrogen
Alcohols Phenols Ethers,Alcohol Reactions,What happens in dehydrogenation of secondary alcohol?,(CH₃)₂CHOH → (CH₃)₂CO + H₂,Hydrogen removed from secondary alcohol
Alcohols Phenols Ethers,Alcohol Reactions,How is alcohol formed from aldehyde?,CH₃CHO + H₂ → C₂H₅OH,Hydrogen adds to carbonyl group
Alcohols Phenols Ethers,Alcohol Reactions,How is alcohol formed from ketone?,(CH₃)₂CO + H₂ → (CH₃)₂CHOH,Hydrogenation of ketone
Alcohols Phenols Ethers,Alcohol Tests,How to distinguish alcohol and phenol?,C₆H₅OH + FeCl₃ → violet complex,Phenol forms complex with FeCl₃
Alcohols Phenols Ethers,Alcohol Tests,What happens when alcohol reacts with FeCl₃?,C₂H₅OH + FeCl₃ → no reaction,Alcohol does not form complex
Alcohols Phenols Ethers,Phenol Formation,How is phenol (C₆H₆O) formed?,C₆H₅ + OH → C₆H₅OH,Benzene ring bonds with hydroxyl group forming phenol
Alcohols Phenols Ethers,Phenol Formation,How is methyl phenol (C₇H₈O) formed?,C₆H₄CH₃ + OH → C₇H₈O,Benzene ring with hydroxyl group attaches a methyl substituent forming methyl phenol
Alcohols Phenols Ethers,Phenol Formation,How is ethyl phenol (C₈H₁₀O) formed?,C₆H₄C₂H₅ + OH → C₈H₁₀O,Benzene ring with hydroxyl group attaches ethyl group forming ethyl phenol
Alcohols Phenols Ethers,Phenol Formation,How is propyl phenol (C₉H₁₂O) formed?,C₆H₄C₃H₇ + OH → C₉H₁₂O,Benzene ring with hydroxyl group attaches propyl group forming propyl phenol
Alcohols Phenols Ethers,Phenol Formation,How is butyl phenol (C₁₀H₁₄O) formed?,C₆H₄C₄H₉ + OH → C₁₀H₁₄O,Benzene ring with hydroxyl group attaches butyl group forming butyl phenol
Alcohols Phenols Ethers,Phenol Reactions,How does phenol react with NaOH?,C₆H₅OH + NaOH → C₆H₅ONa + H₂O,Phenol loses H⁺ forming phenoxide ion due to resonance stabilization
